SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-11DXX-0005-SM-5NQ8B,,B1,,8.6,Blood,Whole Blood,13756,-32,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.988389,787748,0.953893,,0.990389,0.801782,,18412,1,,76,,0.00237965,123,0,7.46E+07,0.045544,388777,7.53E+07,5.63E+06,,18420,3.71E+07,,,0,0.152112,0.990389,0.794076,7.46E+07,0.00359183,1.63E+07,4.95E+07,1.65E+07,147,1.65E+07,1.56E+07,0.00298452,1.65E+07,50.0064,0.00516088,0.992389,,0,50.238
GTEX-11DXY-0006-SM-5NQ8N,,B1,,8.4,Blood,Whole Blood,13756,867,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.975357,436042,0.975278,,0.977483,0.776251,,18671,1,,76,,0.00231404,102,0,7.42E+07,0.0240066,270165,7.59E+07,6.26E+06,,18683,3.69E+07,,,0,0.199027,0.977483,0.758773,7.42E+07,0.00351205,1.70E+07,9.38E+07,1.74E+07,125,1.74E+07,1.76E+07,0.00291174,1.72E+07,49.6925,0.00356041,0.979609,,0,50.5086
GTEX-11DXZ-0006-SM-5LZZH,,B1,,9.2,Blood,Whole Blood,13756,-43,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4901,03/23/2014,TruSeq.v1,RNASEQ,,0.989299,505362,0.969788,,0.990135,0.804221,,19887,1,,76,,0.00345751,117,0,8.21E+07,0.0296604,137092,8.29E+07,4.37E+06,,19899,4.09E+07,,,0,0.165567,0.990135,0.796287,8.21E+07,0.00382487,1.88E+07,6.91E+07,1.90E+07,141,1.90E+07,2.00E+07,0.00364103,1.88E+07,49.6893,0.00165364,0.990971,,0,50.3023
GTEX-11DYG-0006-SM-5NQB2,,C1,,8.1,Blood,Whole Blood,13756,673,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.956094,628267,0.970143,,0.958933,0.776238,,18252,1,,76,,0.00265304,97,0,8.51E+07,0.0280055,154362,8.88E+07,1.21E+07,,18257,4.23E+07,,,0,0.193905,0.958933,0.744359,8.51E+07,0.00603702,1.99E+07,1.42E+08,1.98E+07,131,1.98E+07,2.18E+07,0.00434002,2.01E+07,50.4845,0.00173898,0.961771,,0,49.8638
GTEX-11EI6-0005-SM-5N9GN,,C1,,8.9,Blood,Whole Blood,13756,873,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.986431,910492,0.967494,,0.987872,0.7288,,22719,1,,76,,0.0043081,209,0,1.19E+08,0.0319338,189336,1.21E+08,5.62E+06,,22753,5.93E+07,,,0,0.238694,0.987872,0.719961,1.19E+08,0.00442869,2.68E+07,7.27E+07,2.70E+07,222,2.70E+07,2.35E+07,0.00436831,2.70E+07,49.92,0.00156777,0.989313,,0,50.1811
GTEX-11EM3-0005-SM-5N9DK,,B1,,8.9,Blood,Whole Blood,13756,1143,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.99133,605190,0.960772,,0.992398,0.801219,,18833,1,,76,,0.0028538,153,0,8.59E+07,0.0388976,236567,8.66E+07,4.46E+06,,18847,4.28E+07,,,0,0.159553,0.992398,0.795127,8.59E+07,0.0033883,1.89E+07,5.23E+07,1.91E+07,173,1.91E+07,1.82E+07,0.00312076,1.90E+07,49.8826,0.00273315,0.993465,,0,50.2208
GTEX-11EMC-0006-SM-5O9DN,,B1,,7,Blood,Whole Blood,13756,635,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.96542,679552,0.980434,,0.967966,0.811893,,18217,1,,76,,0.00402171,194,0,1.25E+08,0.0185297,321802,1.30E+08,5.50E+06,,18224,6.23E+07,,,0,0.168541,0.967966,0.785885,1.25E+08,0.00528838,2.92E+07,2.01E+08,2.99E+07,219,3.00E+07,3.46E+07,0.00465338,2.95E+07,49.5724,0.00248479,0.970513,,0,50.6002
GTEX-11EQ8-0006-SM-5P9HJ,,C1,,6.6,Blood,Whole Blood,13756,352,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.969971,613790,0.969943,,0.970949,0.808133,,18590,1,,76,,0.00363866,160,0,1.03E+08,0.0284448,499050,1.06E+08,3.74E+06,,18598,5.12E+07,,,0,0.16181,0.970949,0.784656,1.03E+08,0.00442219,2.39E+07,1.38E+08,2.42E+07,178,2.42E+07,2.53E+07,0.00403003,2.40E+07,49.8616,0.00470098,0.971928,,0,50.3915
GTEX-11EQ9-0006-SM-5LUB6,,B1,,9.3,Blood,Whole Blood,13756,-165,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4899,03/23/2014,TruSeq.v1,RNASEQ,,0.973458,773983,0.967789,,0.975148,0.8078,,17461,1,,76,,0.00453875,89,0,7.74E+07,0.0308614,185146,7.94E+07,6.86E+06,,17468,3.85E+07,,,0,0.159989,0.975148,0.787725,7.74E+07,0.00385597,1.79E+07,1.22E+08,1.81E+07,113,1.82E+07,2.07E+07,0.00419795,1.80E+07,49.8016,0.00233315,0.976838,,0,50.2942
GTEX-11GS4-0006-SM-5SI9M,,B1,,8.9,Blood,Whole Blood,13756,675,,BP-39427,RNA isolation_PAXgene Blood RNA (Manual),05/28/2013,LCSET-5174,04/04/2014,TruSeq.v1,RNASEQ,,0.9801,737127,0.966407,,0.983258,0.76259,,20033,1,,76,,0.00212827,126,0,8.84E+07,0.0329036,235687,8.99E+07,9.71E+06,,20050,4.39E+07,,,0,0.203817,0.983258,0.749823,8.84E+07,0.00363036,2.01E+07,9.63E+07,2.03E+07,152,2.04E+07,2.01E+07,0.0028769,2.04E+07,49.9775,0.00262075,0.986417,,0,50.276
GTEX-11GSO-0005-SM-5O9CA,,B1,,7.2,Blood,Whole Blood,13756,779,,BP-39427,RNA isolation_PAXgene Blood RNA (Manual),05/28/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.968099,545883,0.980828,,0.971004,0.812295,,19099,1,,76,,0.00407836,156,0,1.19E+08,0.0182169,590040,1.22E+08,5.59E+06,,19104,5.90E+07,,,0,0.168533,0.971004,0.788742,1.19E+08,0.00558293,2.73E+07,1.53E+08,2.81E+07,182,2.81E+07,3.06E+07,0.00482839,2.77E+07,49.6797,0.00481945,0.973909,,0,50.6523
GTEX-11GSP-0006-SM-5N9EL,,B1,,8.8,Blood,Whole Blood,13756,705,,BP-39427,RNA isolation_PAXgene Blood RNA (Manual),05/28/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.968893,478859,0.982668,,0.970507,0.800583,,19342,1,,76,,0.00436491,150,0,1.08E+08,0.0166774,273383,1.12E+08,5.68E+06,,19352,5.39E+07,,,0,0.182085,0.970507,0.776972,1.08E+08,0.00436862,2.53E+07,1.36E+08,2.57E+07,196,2.57E+07,2.83E+07,0.00436676,2.54E+07,49.7043,0.00244555,0.972121,,0,50.479
GTEX-11I78-0005-SM-5N9GB,,B1,,8.8,Blood,Whole Blood,13756,-86,,BP-39537,RNA isolation_PAXgene Blood RNA (Manual),05/31/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.987775,941386,0.9548,,0.989394,0.801851,,19648,1,,76,,0.00425953,204,0,9.86E+07,0.0447311,278604,9.97E+07,5.16E+06,,19660,4.91E+07,,,0,0.152949,0.989394,0.793347,9.86E+07,0.00422999,2.15E+07,5.22E+07,2.17E+07,235,2.17E+07,2.03E+07,0.00424478,2.16E+07,49.8755,0.00279507,0.991013,,0,50.2468
GTEX-11LCK-0005-SM-5O98U,,B1,,7.2,Blood,Whole Blood,13756,-156,,BP-39727,RNA isolation_PAXgene Blood RNA (Manual),06/07/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.988181,1.26E+06,0.944081,,0.991929,0.770871,,20045,1,,76,,0.00247307,196,0,9.86E+07,0.0553599,309784,9.94E+07,1.29E+07,,20062,4.90E+07,,,0,0.17321,0.991929,0.764649,9.86E+07,0.00429422,2.10E+07,5.05E+07,2.12E+07,207,2.12E+07,1.81E+07,0.0033802,2.13E+07,50.0919,0.00311691,0.995677,,0,50.2339
GTEX-11NUK-0005-SM-5MR5F,,B1,,9.1,Blood,Whole Blood,13756,794,,BP-39727,RNA isolation_PAXgene Blood RNA (Manual),06/07/2013,LCSET-4902,03/22/2014,TruSeq.v1,RNASEQ,,0.970113,407640,0.978933,,0.97058,0.787983,,19191,1,,76,,0.00295761,117,0,8.91E+07,0.0202724,145815,9.18E+07,3.92E+06,,19208,4.44E+07,,,0,0.19095,0.97058,0.7648,8.91E+07,0.00297858,2.07E+07,1.19E+08,2.10E+07,145,2.10E+07,2.31E+07,0.00296809,2.07E+07,49.7049,0.00158864,0.971047,,0,50.4075
GTEX-11NV4-0005-SM-5N9EX,,B1,,8.8,Blood,Whole Blood,13756,868,,BP-39727,RNA isolation_PAXgene Blood RNA (Manual),06/07/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.987476,1.01E+06,0.95998,,0.988986,0.717328,,22672,1,,76,,0.00479788,211,0,1.11E+08,0.0393499,192758,1.12E+08,5.65E+06,,22714,5.50E+07,,,0,0.242652,0.988986,0.709427,1.11E+08,0.00486463,2.45E+07,4.80E+07,2.46E+07,212,2.46E+07,1.91E+07,0.0048312,2.46E+07,50.0336,0.00172039,0.990497,,0,50.0813
GTEX-11O72-0006-SM-5O9DB,,C1,,7.1,Blood,Whole Blood,13756,867,,BP-39787,RNA isolation_PAXgene Blood RNA (Manual),06/11/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.971684,671300,0.976595,,0.974832,0.793332,,18925,1,,76,,0.00408774,153,0,1.15E+08,0.022533,479008,1.18E+08,5.15E+06,,18935,5.70E+07,,,0,0.183263,0.974832,0.773366,1.15E+08,0.00560427,2.60E+07,1.29E+08,2.67E+07,179,2.67E+07,2.69E+07,0.00484356,2.64E+07,49.6604,0.00406468,0.97798,,0,50.6497
GTEX-11OC5-0006-SM-5N9FA,,B1,,8.8,Blood,Whole Blood,13756,1171,,BP-39787,RNA isolation_PAXgene Blood RNA (Manual),06/11/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.986464,939841,0.958442,,0.988185,0.738016,,20823,1,,76,,0.00415082,150,0,9.37E+07,0.0412146,138707,9.48E+07,4.48E+06,,20854,4.65E+07,,,0,0.220427,0.988185,0.729296,9.37E+07,0.00430178,2.06E+07,4.92E+07,2.08E+07,167,2.08E+07,1.71E+07,0.00422617,2.07E+07,49.9501,0.0014634,0.989905,,0,50.1971
GTEX-11OF3-0006-SM-5O9CM,,B1,,7.2,Blood,Whole Blood,13756,665,,BP-39923,RNA isolation_PAXgene Blood RNA (Manual),06/14/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.94944,343403,0.986383,,0.95191,0.814672,,19095,1,,76,,0.00383628,187,0,1.32E+08,0.0125336,506489,1.39E+08,5.72E+06,,19099,6.56E+07,,,0,0.17171,0.95191,0.775495,1.32E+08,0.00528127,3.11E+07,2.16E+08,3.16E+07,215,3.16E+07,3.56E+07,0.0045569,3.15E+07,49.8891,0.00365455,0.95438,,0,50.353
GTEX-11ONC-0005-SM-5O9CY,,B1,,7.2,Blood,Whole Blood,13756,593,,BP-39923,RNA isolation_PAXgene Blood RNA (Manual),06/14/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.950998,372603,0.986665,,0.953421,0.81538,,17596,1,,76,,0.00354178,137,0,1.23E+08,0.0120629,260035,1.29E+08,5.16E+06,,17599,6.11E+07,,,0,0.171285,0.953421,0.777401,1.23E+08,0.00491664,2.95E+07,2.20E+08,2.96E+07,174,2.97E+07,3.64E+07,0.00422746,2.97E+07,50.0468,0.00201738,0.955843,,0,50.1465
GTEX-11P7K-0006-SM-5N9FM,,B1,,8.8,Blood,Whole Blood,13756,-101,,BP-39959,RNA isolation_PAXgene Blood RNA (Manual),06/17/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.985927,902471,0.96351,,0.987542,0.822894,,19504,1,,76,,0.00480826,160,0,9.67E+07,0.035562,382970,9.79E+07,4.41E+06,,19516,4.81E+07,,,0,0.140616,0.987542,0.812642,9.67E+07,0.0048466,2.17E+07,8.38E+07,2.18E+07,176,2.18E+07,2.27E+07,0.0048274,2.18E+07,50.0138,0.0039108,0.989156,,0,50.1296
GTEX-11P81-0006-SM-5NQ7A,,B1,,8.6,Blood,Whole Blood,13756,1344,,BP-39959,RNA isolation_PAXgene Blood RNA (Manual),06/17/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.989191,555348,0.960959,,0.990962,0.791137,,18950,1,,76,,0.00221728,128,0,7.59E+07,0.0385671,201434,7.66E+07,6.57E+06,,18962,3.78E+07,,,0,0.169822,0.990962,0.783986,7.59E+07,0.00315013,1.68E+07,5.71E+07,1.71E+07,145,1.72E+07,1.66E+07,0.00268287,1.70E+07,49.71,0.00262979,0.992733,,0,50.4593
GTEX-11P82-0006-SM-5N9FY,,B1,,8.7,Blood,Whole Blood,13756,-114,,BP-39959,RNA isolation_PAXgene Blood RNA (Manual),06/17/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.986786,1.05E+06,0.958623,,0.988511,0.802044,,19880,1,,76,,0.00444814,159,0,9.77E+07,0.0407767,447300,9.89E+07,4.86E+06,,19894,4.86E+07,,,0,0.156579,0.988511,0.79283,9.77E+07,0.00454314,2.17E+07,7.59E+07,2.20E+07,181,2.20E+07,2.17E+07,0.00449556,2.19E+07,49.9214,0.00452378,0.990237,,0,50.2531
GTEX-11PRG-0005-SM-5NQ6X,,C1,,8.6,Blood,Whole Blood,13756,627,,BP-40083,RNA isolation_PAXgene Blood RNA (Manual),06/21/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.944977,649725,0.966367,,0.946599,0.78483,,16996,1,,76,,0.00187171,87,0,8.65E+07,0.031553,71068,9.14E+07,7.91E+06,,17002,4.30E+07,,,0,0.181537,0.946599,0.742919,8.65E+07,0.00323027,2.01E+07,1.86E+08,2.06E+07,125,2.05E+07,2.45E+07,0.00254982,2.03E+07,49.8216,0.000777386,0.94822,,0,50.6086
GTEX-11TT1-0005-SM-5NQ8Y,,B1,,8.5,Blood,Whole Blood,13756,-59,,BP-40138,RNA isolation_PAXgene Blood RNA (Manual),06/25/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.990653,569451,0.967113,,0.992152,0.824574,,19397,1,,76,,0.00229737,156,0,8.93E+07,0.032371,405239,9.00E+07,7.43E+06,,19409,4.45E+07,,,0,0.142539,0.992152,0.818102,8.93E+07,0.00317109,1.98E+07,5.31E+07,2.00E+07,202,2.00E+07,1.96E+07,0.00273357,1.99E+07,49.966,0.00450486,0.99365,,0,50.2586
GTEX-11TTK-0005-SM-5O9BX,,C1,,6.9,Blood,Whole Blood,13756,715,,BP-40138,RNA isolation_PAXgene Blood RNA (Manual),06/25/2013,LCSET-4910,04/01/2014,TruSeq.v1,RNASEQ,,0.942579,561418,0.982147,,0.945197,0.806499,,17030,1,,76,,0.00357688,143,0,1.33E+08,0.0162683,220407,1.41E+08,6.15E+06,,17031,6.62E+07,,,0,0.175648,0.945197,0.762301,1.33E+08,0.00503947,3.15E+07,2.60E+08,3.24E+07,187,3.24E+07,3.91E+07,0.00430615,3.19E+07,49.5975,0.00156276,0.947815,,0,50.6763
GTEX-11TUW-0006-SM-5LZW2,,B1,,9.2,Blood,Whole Blood,13756,650,,BP-40138,RNA isolation_PAXgene Blood RNA (Manual),06/25/2013,LCSET-4900,03/23/2014,TruSeq.v1,RNASEQ,,0.9904,630207,0.965767,,0.992045,0.755603,,19881,1,,76,,0.0030265,124,0,7.11E+07,0.0337402,165935,7.17E+07,3.53E+06,,19900,3.54E+07,,,0,0.210164,0.992045,0.749592,7.11E+07,0.00386138,1.57E+07,2.58E+07,1.59E+07,140,1.59E+07,1.32E+07,0.00344325,1.58E+07,49.8137,0.00231387,0.99369,,0,50.2294
GTEX-11UD2-0005-SM-5NQ9B,,B1,,8.6,Blood,Whole Blood,13756,829,,BP-40138,RNA isolation_PAXgene Blood RNA (Manual),06/25/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.982115,268610,0.981745,,0.983473,0.800747,,18534,1,,76,,0.00234407,104,0,6.88E+07,0.017573,132036,7.00E+07,5.71E+06,,18542,3.43E+07,,,0,0.180998,0.983473,0.787513,6.88E+07,0.00342091,1.60E+07,8.13E+07,1.62E+07,121,1.62E+07,1.71E+07,0.00288174,1.61E+07,49.8989,0.00188606,0.984832,,0,50.3166
GTEX-11VI4-0006-SM-5N9D8,,B1,,8.9,Blood,Whole Blood,13756,-106,,BP-40286,RNA isolation_PAXgene Blood RNA (Manual),06/28/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.98389,1.20E+06,0.937239,,0.98524,0.776193,,19066,1,,76,,0.00301292,117,0,8.08E+07,0.0622677,190350,8.20E+07,3.95E+06,,19075,4.02E+07,,,0,0.161046,0.98524,0.764736,8.08E+07,0.00372778,1.76E+07,9.16E+07,1.79E+07,139,1.79E+07,1.79E+07,0.00336986,1.78E+07,49.7926,0.0023204,0.98659,,0,50.4163
GTEX-11WQC-0006-SM-5LZVP,,B1,,9.2,Blood,Whole Blood,13756,600,,BP-40354,RNA isolation_PAXgene Blood RNA (Manual),07/02/2013,LCSET-4900,03/23/2014,TruSeq.v1,RNASEQ,,0.991038,427310,0.975773,,0.992415,0.751628,,20375,1,,76,,0.00314542,128,0,7.00E+07,0.0236461,281983,7.05E+07,3.31E+06,,20393,3.48E+07,,,0,0.224145,0.992415,0.745927,7.00E+07,0.00391579,1.57E+07,2.35E+07,1.58E+07,135,1.58E+07,1.33E+07,0.00353007,1.58E+07,49.9428,0.00399781,0.993792,,0,50.1215
GTEX-11WQK-0005-SM-5O9AV,,B1,,7.3,Blood,Whole Blood,13756,474,,BP-40354,RNA isolation_PAXgene Blood RNA (Manual),07/02/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.971785,1.28E+06,0.943033,,0.975738,0.713537,,22346,1,,76,,0.00233799,140,0,1.05E+08,0.0559118,113422,1.08E+08,1.54E+07,,22381,5.23E+07,,,0,0.229496,0.975738,0.696225,1.05E+08,0.00439422,2.31E+07,1.32E+08,2.35E+07,162,2.35E+07,2.20E+07,0.00336194,2.35E+07,50.0048,0.00104922,0.97969,,0,50.4504
GTEX-11XUK-0005-SM-5LU9F,,B1,,9.4,Blood,Whole Blood,13756,-54,,BP-40354,RNA isolation_PAXgene Blood RNA (Manual),07/02/2013,LCSET-4899,03/23/2014,TruSeq.v1,RNASEQ,,0.989508,508759,0.96798,,0.991446,0.807148,,19449,1,,76,,0.004461,109,0,6.84E+07,0.0316796,194901,6.90E+07,6.30E+06,,19455,3.40E+07,,,0,0.160832,0.991446,0.800243,6.84E+07,0.0037196,1.52E+07,4.02E+07,1.53E+07,124,1.54E+07,1.51E+07,0.00409103,1.53E+07,49.9841,0.00282533,0.993384,,0,50.1331
