gene,CGI_chr,CGI_start,CGI_end,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue,WGBS_log2FC,WGBS_-log10(Pvalue),UCSC_CpG_Islands_Name,cpgs
CCDC24,chr1,43991478,43992100,0.025836369658827428,-0.023326221428498998,414.7239252201843,-0.09773549666616516,49.112295653708976,-0.8948437007498293,0.0075944297032616,chr1:44457150-44457772,"['cg04323187', 'cg04921669']"
TMEM14A,chr6,52670916,52671190,0.0038092083471348128,-0.09522714546061326,1.0256812917382096e-12,-0.011072000929869694,5193.799516444745,0.1885351772667945,0.4032461212627296,chr6:52535714-52535988,"['cg01408342', 'cg02871208']"
E2F3,chr6,20401772,20403655,0.053039085789996686,0.0345446113060224,4111.4912597296525,-0.18175271925049186,0.0033859628010107917,0.1366455931059546,1.6387850476650518,chr6:20402003-20403886,"['cg21803390', 'cg27250759', 'cg23167585', 'cg10975586', 'cg18152712', 'cg15250468', 'cg18363568', 'cg08298587']"
SAFB,chr19,5622237,5623701,0.013486017129607725,-0.04937604011851924,456.52782087428574,-0.002948646569111226,6382.199848711356,-0.7808594938541544,0.7382851983119113,chr19:5622248-5623712,"['cg01003902', 'cg21954173', 'cg11928000', 'cg26319343', 'cg03585454', 'cg02619805', 'cg19688749']"
MFSD11,chr17,76736263,76738140,0.023296897427404217,-0.002167900749317311,6128.934644703559,-0.19662208233157913,0.00034958027206686746,-0.7428355404054967,0.933704703614705,chr17:74732345-74734222,"['cg17205803', 'cg08308286', 'cg12404798', 'cg01055610', 'cg00819114', 'cg08524221', 'cg19125323', 'cg16046954', 'cg25333216', 'cg03570858', 'cg25538649', 'cg05482832']"
PAN3,chr13,28138039,28139316,0.01159324279562769,-0.08155302807315294,8.978900402628927e-11,-0.10304551707348548,31.334226912954374,-0.102984371164245,0.560735198687233,chr13:28712176-28713453,['cg00178356']
FTH1,chr11,61967288,61968460,0.009605829744948658,0.0006835877400858913,8082.432228302087,0.15918170599136255,0.07568011915003806,1.010451374499678,10.289714291509792,chr11:61734760-61735932,"['cg22958459', 'cg07441964', 'cg18570751', 'cg01370129']"
KCNJ12,chr17,21376194,21378262,0.30606160980457103,-0.2589693165554209,2.5173196021793043e-133,-0.027043634516386608,3125.114937065793,1.356304633410388,62.65926111078881,chr17:21279506-21281574,['cg26857910']
BATF3,chr1,212699118,212700706,0.06624710168930109,-0.06326578088617989,1.7286424053183935e-05,0.082349024496814,161.31795015945744,-0.345337544151828,0.8910025215434658,chr1:212872460-212874048,['cg16410706']
DIAPH3,chr13,60163526,60164151,0.011394501490559789,-0.005453082341184227,8181.29228781242,0.07518282788055636,265.32673396502935,0.0356693124794119,1.309361347014112,chr13:60737660-60738285,"['cg15695106', 'cg06728674', 'cg18418807', 'cg04528624', 'cg22524447']"
PPIB,chr15,64162691,64163378,0.016561775422325273,-0.010425153615118221,2723.922570179198,-0.16723682029649217,0.026157058813643993,0.3292776671422704,0.0591701376167274,chr15:64454890-64455577,['cg16312647']
SNHG10,chr14,95534339,95535528,0.02012255713812521,-0.06409271417752563,43.599379902964145,-0.13643818358793897,1.157601230147013,-0.125324852471104,0.0718782648203865,chr14:96000676-96001865,"['cg08047860', 'cg13082157', 'cg16154372', 'cg04985324']"
YY1,chr14,100238025,100240730,0.005299768135144088,-0.029059362868407684,1453.8088941759274,-0.21098343475970652,3.28053745262889e-05,-0.7086006743234091,1.3902422388342888,chr14:100704362-100707067,"['cg14866419', 'cg01672820', 'cg01241986']"
CCDC66,chr3,56556911,56557195,0.0076184166942696255,-0.06326952518924084,0.0004971446823105811,0.04183226229275168,1712.0113554395587,0.1121266624649788,0.5365252431862475,chr3:56590939-56591223,"['cg12457740', 'cg13341536']"
COL25A1,chr4,109301814,109303101,0.6997350115932428,-0.37585008409914233,9.866411742541692e-290,-0.02067924636453031,3891.890634099898,2.3442075737948054,103.4952792585804,chr4:110222970-110224257,"['cg11979589', 'cg05791136']"
KCTD20,chr6,36442656,36443362,0.01334405905455922,-0.018985225532885622,3876.863920348402,-0.12481007909817116,4.009622069332287,0.0633136717904448,0.3108779933798423,chr6:36410433-36411139,"['cg13409888', 'cg04286043', 'cg02887679', 'cg06218124', 'cg02806352', 'cg21181087', 'cg10984505']"
NDC80,chr18,2571287,2571581,0.02235839682013912,-0.029827344193828466,4605.686781490971,0.0028948571153872343,6390.2057463261535,0.7400735726467499,1.767063049364403,chr18:2571286-2571580,"['cg02807146', 'cg17241550', 'cg17322050', 'cg05407825']"
FLOT1,chr6,30742530,30744663,0.01692613448161643,-0.029522613976176965,7164.531006897121,-0.26453851703775666,1.0109330529288185e-09,0.3143008206353492,2.925974179322538,chr6:30710307-30712440,"['cg26910594', 'cg16717099', 'cg09061824', 'cg05050482', 'cg26432347', 'cg20178172', 'cg09990440', 'cg00788362', 'cg13391363', 'cg19984781']"
REEP1,chr2,86337119,86337945,0.24660483603842331,-0.16416650229927862,5.805363118101534e-31,-0.1060573632683793,24.066003857743624,0.6726921363820775,5.06075105665824,chr2:86564242-86565068,"['cg24591029', 'cg22717109']"
ACADM,chr1,75724231,75725045,0.007949652202716132,-0.10735485668822305,1.849414357427976e-20,-0.15211773837120016,0.18427025633140487,0.1397634245291329,0.2119829471510444,chr1:76189916-76190730,['cg14565881']
PDE8A,chr15,84980281,84982634,0.016009716241581096,-0.14375954044582553,3.787649012602896e-32,0.04015869720658126,1844.889665725359,0.6113764664236497,6.344866401268827,chr15:85523512-85525865,"['cg11392877', 'cg17823892', 'cg07883956']"
TPM1,chr15,63042034,63043864,0.2550513415038092,-0.1440528224323463,7.940958961505681e-39,-0.10157496328403129,35.558957312402036,0.7695972198125137,32.37916835724181,chr15:63334233-63336063,['cg04194852']
IRX4,chr5,1881810,1887629,0.5626035110963896,-0.2798820585471113,1.001837599583688e-117,0.010789169412468384,5234.17768285209,1.6123735455869008,307.3130649246765,chr5:1881924-1887743,"['cg00264591', 'cg18009496']"
WDTC1,chr1,27234214,27235216,0.016975819807883406,0.026363928743854563,247.2600939308519,-0.23784900508146645,2.453110955651666e-07,-0.1031347372526391,0.0915142368810548,chr1:27560705-27561707,"['cg08459369', 'cg00907402', 'cg16740167', 'cg16968115']"
KLHL8,chr4,87219690,87220793,0.013249420337860219,-0.12406892945544527,3.8478217904433656e-28,-0.27484400482733645,1.0196798274063123e-10,-0.2497990957135773,0.0361656485380751,chr4:88140842-88141945,['cg08267530']
FGFRL1,chr4,1009318,1011667,0.10743071657281661,-0.1200031661313052,3.3965890605983e-17,0.1681425722938864,0.023137611282586748,-0.5237380032341329,0.2233079318377716,chr4:1003106-1005455,"['cg26800554', 'cg00939391', 'cg19121473', 'cg07809452', 'cg02827336', 'cg02930242']"
AMZ2,chr17,68247442,68248262,0.01020205366015237,-0.07892013559558653,4949.965779333377,-0.12141643967603051,5.653130147510474,-0.1832556266593743,0.4627784713513185,chr17:66243583-66244403,"['cg17553389', 'cg03409623', 'cg26244401', 'cg16833167', 'cg08172935']"
FAM184A,chr6,119077926,119079058,0.22507452798940047,-0.18896616397037025,3.236210487092711e-61,-0.026682119800832266,3166.278093529368,0.496496811692942,12.075278068048386,chr6:119399091-119400223,"['cg25249518', 'cg02233421']"
BICD1,chr12,32106315,32107231,0.004885723749585956,-0.17293245458377873,8.921263596341904e-21,0.07473937354777213,273.3070172565599,0.5545323853620264,2.4342625411630343,chr12:32259249-32260165,"['cg03732185', 'cg11387990', 'cg11210652', 'cg21574531']"
EBAG9,chr8,109539507,109540414,0.008832946891906814,-0.06999972007727766,1388.4547127514502,-0.0811762600355481,175.4282674213516,0.0474885241939295,0.790326153458989,chr8:110551736-110552643,"['cg07134589', 'cg04559986', 'cg00259887', 'cg25824226', 'cg17452277', 'cg26530971']"
CRHR2,chr7,30681756,30682829,0.2465220271613117,-0.1311383914601718,9.997370941052855e-15,-0.04323012521136096,1606.251558420177,1.7402906388440422,53.5821996132708,chr7:30721372-30722445,"['cg21773872', 'cg13094036', 'cg14896516', 'cg01718447']"
PARP3,chr3,51941596,51942489,0.04339185160649222,-0.007823303363765724,4196.499391741838,0.19563474494544508,0.0004087546760466016,-0.5576064516541145,0.5689026592337983,chr3:51975612-51976505,"['cg12762517', 'cg02577651', 'cg14974841']"
EXO1,chr1,241847849,241848442,0.011924478304074199,-0.07959499023084574,1875.970325288254,0.041419323709396313,1744.1613237530698,-0.3199968128705077,0.5246735628917607,chr1:242011151-242011744,"['cg00309178', 'cg17736920', 'cg12401425']"
ZNF436,chr1,23368197,23369557,0.023186485591255385,-0.07204459575216873,0.01441325588938849,-0.28065650370147965,2.6765207071881346e-11,-0.3222353105615143,0.0751657910753353,chr1:23694690-23696050,"['cg02454131', 'cg24314279', 'cg00269115', 'cg10984183', 'cg20941554']"
ZNF529,chr19,36572990,36573847,0.008943358728055647,-0.4659126564233624,0.0,-0.06813657378040536,418.2318068578031,-0.1751084204138585,0.2266967413683019,chr19:37063892-37064749,"['cg09500430', 'cg27335720']"
LATS1,chr6,149717528,149718304,0.03842331897979463,0.039606541904551804,2.5992201369410273,-0.017887918744162665,4254.289423438513,-0.3158886433581384,0.3980912345707034,chr6:150038664-150039440,"['cg19579695', 'cg11408517']"
RPA2,chr1,27914073,27915024,0.019322071326046155,-0.09801205394719832,1.871703523586816e-15,-0.10435261010275254,27.965793047370497,0.4751725017205886,0.5450845329008274,chr1:28240584-28241535,"['cg05786725', 'cg00533620', 'cg04788931']"
PFDN6,chr6,33288762,33289196,0.02743734128298554,-0.03476065156379553,3798.1464446833447,-0.22726602162547171,1.8176547138985562e-06,-1.22983128487137,0.0723729281674658,chr6:33256539-33256973,"['cg11368791', 'cg14139669', 'cg13576739', 'cg00578240', 'cg17518036', 'cg10272540']"
TCF7,chr5,134113629,134115569,0.04223252732692944,-0.2742364894459153,2.9282960606235965e-10,-0.040459877951733766,1820.4698550657852,0.5261796939400606,14.117977375464651,chr5:133449320-133451260,"['cg18097224', 'cg04552346', 'cg11485451', 'cg18865127']"
TRIM23,chr5,65624087,65624461,0.012214309373964888,-0.043656103785511886,3821.1800311032757,-0.19369826380066174,0.0005541855840105443,-0.0573493408936125,1.7109668253961456,chr5:64919914-64920288,"['cg18741962', 'cg09048586', 'cg05665136', 'cg11399754', 'cg16310774', 'cg05166316', 'cg10166159', 'cg14756332']"
TEC,chr4,48270009,48270281,0.03146737330241802,-0.5912921395429535,0.0,0.11621160502995626,9.416705345365962,0.0845161166675252,0.3115959521531272,chr4:48272026-48272298,"['cg24686357', 'cg06798642', 'cg07849581']"
MYLK,chr3,123883741,123884693,0.2013083802583637,-0.12616367049751068,6.710087053814848e-24,-0.11234399783584904,13.582076179174967,1.2893604788103918,11.181418234267044,chr3:123602588-123603540,"['cg00890840', 'cg16531585', 'cg04583043', 'cg07802917']"
NR3C1,chr5,143402506,143405506,0.0022082367229767034,-0.2589839998887426,1.3753705400099004e-65,-0.18145525312973565,0.0035368268054514437,-0.8631193634656786,0.581135524891038,chr5:142782071-142785071,"['cg18068240', 'cg18019515', 'cg14558428', 'cg16335926', 'cg00629244', 'cg15645634']"
LRRC47,chr1,3795834,3796670,0.015568068896985757,-0.10405729666345959,4.509507506208045e-19,-0.1686088950936963,0.021716131669542223,-0.844858379651911,0.0565722789443684,chr1:3712398-3713234,['cg05643503']
MGAT2,chr14,49620237,49621543,0.008645246770453792,-0.037509610720510136,7776.687093518284,-0.20669853753937983,6.766560420094157e-05,-0.3321058946411173,0.9664051367215228,chr14:50086955-50088261,"['cg19958009', 'cg23106158', 'cg01485704', 'cg01096546', 'cg15316458', 'cg26988241', 'cg02873700', 'cg01797567', 'cg00948862', 'cg07184439']"
RUNX1,chr21,34888153,34891390,0.010351109638953295,-0.007673230237082645,7481.437662443618,-0.04415621207980829,1538.7779344821113,-0.0621186178854775,0.1028630232450284,chr21:36260450-36263687,"['cg11564339', 'cg16066237', 'cg23508333', 'cg01337293']"
SLC7A4,chr22,21032204,21032711,0.34746604836038425,-0.37975734902487335,2.1420082832032385e-301,-0.05727841787405171,790.1643956502439,2.6015459878258187,54.27976839398511,chr22:21386493-21387000,['cg27645955']
AGPAT5,chr8,6707793,6709137,0.010047477089543998,-0.06536657792937908,2353.4670147067345,-0.09907263303548089,43.94097324590572,-0.0771837253846537,2.263061097513241,chr8:6565314-6566658,"['cg12294506', 'cg09346904', 'cg09293387', 'cg22055304', 'cg21672705', 'cg16675029']"
FDPS,chr1,155308616,155308952,0.013448161642928122,-0.03859060627525917,1263.9298128016362,-0.2619334022505424,1.7775667815581339e-09,0.0024506182419842,0.2520200411017809,chr1:155278407-155278743,"['cg03933784', 'cg17142371', 'cg08847296', 'cg14026927', 'cg26420739']"
PCNA,chr20,5126556,5127440,0.008233568352813136,-0.05582188580363301,5809.438067559718,-0.10592005407168442,24.36077836155073,-0.5190508262515593,0.3857090540223827,chr20:5107202-5108086,"['cg04527057', 'cg14443694', 'cg05682094', 'cg22468786', 'cg11820558', 'cg07327202', 'cg04562739']"
ACP5,chr19,11578602,11578953,0.17091752235839683,-0.393710587741826,0.0,-0.05031974315664572,1140.6883629170397,1.8514872638284088,6.09669004109296,chr19:11689417-11689768,['cg00487737']
JDP2,chr14,75427605,75428766,0.0386441426520923,-0.1252820658255696,0.01890343373822804,-0.24575949165767833,5.148821975208129e-08,-0.7964016877664001,0.0401458126723012,chr14:75894308-75895469,"['cg07469408', 'cg23138678', 'cg27317218']"
HEATR1,chr1,236604061,236604698,0.02368333885392514,-0.06129385892480857,0.00017837189747569768,-0.015204599774267483,4615.7378204981505,0.2922621806373925,1.701588424710916,chr1:236767361-236767998,"['cg11159084', 'cg22526415']"
MIB2,chr1,1615073,1616635,0.002235839682013912,-0.025059540321912255,8372.273433851318,0.04624064638376166,1394.35598267989,0.019837104125252,0.038350023431211,chr1:1550453-1552015,"['cg11140595', 'cg10705488', 'cg18123911', 'cg06761793']"
PTPRA,chr20,2872253,2873989,0.02208236722976703,-0.1056135245201532,2.2223694685358693e-08,-0.03704260132163491,2110.694553791532,0.4665652229140521,4.324464720826517,chr20:2852899-2854635,"['cg01048080', 'cg20675196', 'cg25986670']"
ZC3H12A,chr1,37474122,37475049,0.011924478304074195,0.002690356016920263,690.9444211402285,0.08893989467113331,98.92177143531576,-0.5140211149653225,0.1533301416939862,chr1:37939723-37940650,"['cg12600418', 'cg26309987', 'cg17161388', 'cg06921501', 'cg19644445']"
GFM2,chr5,74766741,74767400,0.010997018880423981,-0.09230070171264401,2.7335516874222154,-0.2357527163796665,3.6760133447806365e-07,-0.093733974225008,1.1895466110267257,chr5:74062566-74063225,"['cg12207922', 'cg03979643', 'cg08881067', 'cg06452451', 'cg10617287']"
NUP85,chr17,75205231,75206027,0.02208236722976703,0.012654409839400436,7988.423678346302,-0.11464682531977656,10.935260160081016,-0.837190680658951,0.1892605789683588,chr17:73201326-73202122,"['cg14400389', 'cg15608357', 'cg13944286']"
CENPJ,chr13,24922450,24923161,0.011593242795627692,-0.014759931837893193,5411.757369926039,0.042245645536624785,1680.2425392989592,0.0626478273032806,1.0611471100616487,chr13:25496588-25497299,"['cg07070047', 'cg12066905']"
YY1AP1,chr1,155688041,155689334,0.00973832394832726,-0.012325542148041583,73.9409736043586,0.03267238461927398,2524.044465024219,-0.0704227105868686,0.3091276723801622,chr1:155657832-155659125,"['cg00061769', 'cg08550626', 'cg16676300', 'cg14837416', 'cg18277007']"
SLC16A3,chr17,82228259,82232114,0.05523352103345479,-0.49077729875031584,0.0,-0.17785883025767002,0.005957317570549264,-0.1054010090365296,0.6911464776351447,chr17:80186135-80189990,"['cg04184297', 'cg14417329', 'cg08296680', 'cg14654468']"
MIER3,chr5,56950708,56952524,0.036104670420669095,-0.0960599482766481,6.766897558213951e-16,-0.045391478075464516,1451.9565407952566,-0.8040669901894028,0.1907150237425925,chr5:56246535-56248351,['cg14051306']
ZNF250,chr8,144900703,144902670,0.005631003643590593,-0.05936933577593764,0.007699504510791513,0.007911872131318588,5649.825795092472,-0.653307589980589,0.2020553807797599,chr8:146126088-146128055,"['cg13353245', 'cg10333767']"
IL6ST,chr5,55994507,55995561,0.016230539913878766,0.00024939760744680656,13.232681088161717,-0.19420908560192124,0.0005115809313304052,-0.0808079572797096,1.453953702019646,chr5:55290335-55291389,"['cg13648373', 'cg27568809']"
PPP1R3D,chr20,59939016,59940581,0.008943358728055649,-0.1511092164296175,6.622356913730712e-22,-0.26967685309420925,3.2608488726319833e-10,0.208219798784618,3.226858066238709,chr20:58514071-58515636,"['cg22078976', 'cg02009255', 'cg04825263', 'cg01166994']"
LPIN2,chr18,3012549,3013175,0.005564756541901292,-0.09228468913523405,0.09227781195687672,-0.07998890764769084,190.78694467467372,-0.4305408064734629,0.3125819161407359,chr18:3012547-3013173,"['cg13820589', 'cg12317151', 'cg11516594', 'cg00803804', 'cg12245438']"
AP2A1,chr19,49766375,49767248,0.016561775422325273,-0.07371051174686685,5.131908727005255,-0.03393223521066297,2400.0335435677152,-0.2205543588621998,0.4346460715760157,chr19:50269632-50270505,"['cg08072574', 'cg16860848']"
ZNF202,chr11,123741190,123741837,0.009937065253395164,-0.037634101842384644,3.0922883353228756,-0.029569219780437802,2846.0446796031756,0.4552978688973904,0.4227173388810965,chr11:123611898-123612545,['cg27113153']
PHF1,chr6,33410152,33411390,0.02409738323948327,-0.03272781893556707,1211.3639346086854,0.1831854620258854,0.002741975054391745,-0.6066399286873859,0.5077478621863486,chr6:33377929-33379167,"['cg10797813', 'cg01097444', 'cg20872639', 'cg13528777']"
BCAT2,chr19,48810840,48811177,0.0016561775422325273,-0.13247530858142675,1.944909027768904e-32,-0.07434847536744599,280.5091200223146,-0.2631661275292719,0.0752026653635336,chr19:49314097-49314434,['cg23441208']
PDSS1,chr10,26697213,26698159,0.022027161311692613,-0.017119804704347947,7512.565210831335,-0.19502526467805564,0.00045000040341567455,-0.0357412516633875,0.4174359113580472,chr10:26986142-26987088,"['cg01136750', 'cg23864376']"
ARHGEF7,chr13,111153291,111154184,0.006459092414706857,-0.11796119472072847,2.389540062900994e-20,0.03427239336448595,2367.2223962980006,-1.179890925657074,0.1624391274266651,chr13:111805638-111806531,"['cg03461298', 'cg03844381']"
POLD1,chr19,50383924,50384676,0.0003312355084465055,0.005498682623970388,5070.498985978882,0.041612333562905314,1729.0824968551647,-0.437166566506014,0.515964173337783,chr19:50887181-50887933,['cg02849924']
PPP1R15B,chr1,204411185,204412031,0.0016561775422325273,0.0013321418618213593,0.03345252559102726,0.050891692819561955,1108.0822040416915,-0.8573458426089615,0.2930834900901411,chr1:204380313-204381159,"['cg00952134', 'cg10057631']"
B4GALT2,chr1,43978963,43979950,0.04968532626697582,-0.04134955365874572,0.7599620910200607,0.02967626249068877,2834.54998030834,-1.1034697115594556,0.4694273305772698,chr1:44444635-44445622,['cg15695626']
HIRA,chr22,19431222,19432714,0.009329800154576571,-0.05321579872927462,432.15609233903376,0.06839984777919089,411.4286914530017,-0.2918222185598859,0.499952568045385,chr22:19418745-19420237,"['cg18715318', 'cg03439145', 'cg02723399', 'cg10532048', 'cg17650050', 'cg17881637']"
CSGALNACT2,chr10,43137518,43138774,0.03477972838688308,0.016324691513731043,1029.2465709656642,-0.084153835090366,141.52402399267353,-0.7707268694582393,0.2800772365610101,chr10:43632966-43634222,['cg10896796']
ZFPL1,chr11,65083830,65084356,0.011858231202384897,-0.011440206710092082,7758.545351956415,-0.28185486392076886,2.0234284012531775e-11,0.2596805237187383,0.5110918602026883,chr11:64851302-64851828,"['cg14198420', 'cg19545356', 'cg17636471', 'cg25382566', 'cg12214534', 'cg14909795', 'cg04175895', 'cg05342320', 'cg26172907', 'cg02235894']"
