probe,closestTSSstrand,distTSS,closestTSSgene,closestTSSpos
cg13048512,+,497,SLC6A17,110693115
cg15392792,+,94,MIR638,10829079
cg04590959,+,434,RNF14,141348669
cg10347199,-,-192,DLG4,7123369
cg02532648,-,449,BTG3,18985219
cg14352442,+,234,UBR3,170683963
cg22318996,+,50,PHTF2,77428287
cg09016639,+,-103,LMNA,156084501
cg07351084,+,-633,ZNF362,33722092
cg17994390,-,-256,VIRMA,95565697
cg09949429,-,-116,NAA25,112546587
cg03245962,-,-178,XRN1,142166879
cg26284613,-,-61,TSKU-AS1,76494106
cg07121640,+,-254,SENP2,185304082
cg21025089,+,186,NDUFA6-DT,42486936
cg26744490,-,-395,TMTC4,101327049
cg13216088,+,-166,PSMD1,231921580
cg08693705,-,-88,MAPK9,179719083
cg27236173,+,-45,LIX1L,145477068
cg23298564,-,-13,C19orf54,41256382
cg12551582,+,174,CHFR-DT,133464427
cg06395091,+,37,DYNLRB2,80574889
cg04148584,-,-340,LAMB1,107643606
cg13648312,-,229,HLA-F-AS1,29716826
cg10518327,-,-28,ZNF503,77161674
cg21938123,-,217,NEK3,52733590
cg04364453,+,-88,HPCAL1,10443029
cg06080224,+,166,DUS4L-BCAP29,107204415
cg19922281,-,385,CACNA2D2,50541065
cg25525687,+,-2509,SNAPC2,7985222
cg16833167,+,-126,AMZ2,66244144
cg27216259,-,-62,TENT5A,82462398
cg00724035,+,106,BOLA3-DT,74375107
cg12684684,+,-92,ARPC2,219082119
cg22996534,-,183,MTUS1,17659030
cg11770404,+,-110,RPS21,60962158
cg26220033,+,-558,SNX24,122181307
cg03488522,+,-75,TTLL4,219575557
cg00433364,-,358,DCTN1,74618993
cg02009255,-,-11,PPP1R3D,58515360
cg18032201,-,510,BRD4,15443350
cg13186679,-,236,UBE2Q1,154531138
cg09421092,+,120,RPL23A,27047002
cg17647192,+,538,LEMD3,65563362
cg08592530,+,46,LINC02981,26438188
cg20018267,+,915,TRIM24,138145003
cg16878007,+,57,TTPAL,43104513
cg14886235,+,63,SYNGR4,48867623
cg18592975,+,574,CDK13,39989958
cg21988067,-,-690,SETD7,140477373
cg25556343,+,47,TOX4,21945353
cg21907877,+,-268,DHDDS,26758811
cg08122190,-,-48,MANSC1,12503176
cg14163408,-,359,FAM136A,70529199
cg20483857,-,-54,ST6GAL2,107502623
cg06282270,-,-122,VWCE,61062788
cg16611005,+,-340,FOXB1,60296509
cg15402210,-,-11,EHBP1-AS1,63274846
cg25673274,+,6,CDK13,39989854
cg09804380,+,374,PDPN,13910326
cg08550615,+,13,CDK13,39989854
cg19224713,-,-81,SAMD12,119634202
cg18540305,+,26,TMCO3,114145335
cg10551883,-,-24,CAPS2,75724104
cg19564637,+,-254,PELI2,56585128
cg06454848,-,8,ZNF260,37019173
cg02147028,-,92,DUSP3,41856345
cg27312359,-,20997,KIF17,21044500
cg09148738,-,-37,JTB,153950150
cg14298966,-,-68,DDN,49393158
cg03827164,-,-6,BORCS6,8093498
cg11766711,+,-8379,LBHD2,103550546
cg07703277,+,721,STK35,2082472
cg21845713,+,544,HYLS1,125757562
cg19328764,+,-275,NDUFV2,9102696
cg23158051,+,-272,ACTR2,65454964
cg06194119,-,-387,TMEM185B,120980976
cg13300549,+,221,GABARAPL1,10365475
cg23621158,-,88728,HNRNPD,83295144
cg04540383,-,-344,RASSF1,50378267
cg05682094,+,392,CDS2,5107653
cg11954110,-,-242,ZW10,113644414
cg15992535,+,52758,PSD2,139175392
cg12855247,+,344,TRRAP,98476154
cg20923575,+,-924,SEPTIN4-AS1,56597197
cg10563325,-,-400,SLC8A3,70655668
cg25092206,-,-220,TMEM41B,9336140
cg02495971,+,-236,U2AF2,56166400
cg04200835,-,-159,VKORC1,31106118
cg15039019,-,-74,MED10,6378660
cg18117895,-,-64,BDNF,27722002
cg25375340,-,-568,MCOLN2,85462796
cg01000469,-,461,SOS1,39348192
cg10692290,-,12,PPP1R18,30654422
cg25098208,-,-87,RIC3,8190572
cg15103426,+,110,CCDC117,29168682
cg21686379,+,-322,COL9A3,61448401
cg02376703,-,-181,EPHA1,143105949
cg20785715,+,-165,ZNF623,144718188
cg18470852,+,65,UBA52,18682533
cg16777839,+,-58,PHPT1,139743860
cg20085812,-,80,GORASP1,39149118
cg14076977,-,-148,PLCB2,40600136
cg02223067,-,-281,MCF2L-AS1,113622952
cg17989428,-,-436,LAPTM4A,20251389
cg15775457,+,245,FZR1,3506308
cg26131911,-,30,ZBTB8OS,33116533
cg00054525,-,-126,CYBA,88717461
cg23992449,+,81,FADS2,61583875
cg09130288,-,-53,PMP22,15165869
cg22191696,-,-124173,LINC00469,71824676
cg16192717,+,262,SPAG1,101170265
cg05267623,-,-3,NRXN2,64490669
cg14247318,+,408,HCG14,28864306
cg12978198,+,-100,DRC3,17876126
cg23375431,+,231,SETD1B,122241914
cg13080626,+,782,KCNC4,110752935
cg02649987,-,810,GUCY1A2,106889202
cg03795608,+,-35,EEFSEC,127872323
cg07149197,-,92,XNDC1N-ZNF705EP-ALG1L9P,71639640
cg16028064,+,-252,BPTF,65821618
cg08638512,-,-329,CACUL1,120514482
cg24288463,-,493,CRNKL1,20033110
cg06588483,-,-123,PRICKLE1,42877417
cg16882097,-,-429,NPC1,21166470
cg11830546,+,44,NAA15,140222658
cg24352281,+,-9,NASP,46049712
cg04076037,-,-33,PFN4,24346204
cg01836441,+,-179,CNOT2,70636797
cg19120496,+,203,JADE1,129731132
cg17354190,-,-56,GRIN2C,72856008
cg10743145,-,174,ERCC1,45927175
cg21923621,+,244,KIZ,21106722
cg13281814,+,-55,GDAP1,75262637
cg23942897,-,-111,NKAIN4,61885815
cg25551987,-,57,MRPS30-DT,44808895
cg16279909,+,-53,RBM48,92158108
cg05906620,-,-67841,CTNNA3,69455953
cg25946216,-,54,MIDEAS,74253911
cg10426939,-,-57,LYSMD4,100273649
cg15665968,-,-76,U2AF1,44527688
cg23766305,-,-85,MYO18A,27507416
cg14522483,+,-19,TMEM8B,35829224
cg02978142,+,161,SNX27,151584525
cg00997172,-,-95,ZNF341-AS1,32398905
cg15128562,+,24,EVI5L,7895103
cg21465517,+,-214,RPS21,60962158
cg23940169,+,-245,ATF1,51157883
cg21396127,-,-177,LOC101928068,245134171
cg13953813,+,-45,HNF4G,76319883
cg16364152,-,-166,GPCPD1,5591652
cg05384135,+,706,HLA-E,30457285
cg26985142,-,353,ZFAT,135725274
cg21212389,-,50,DIDO1,61569256
cg16638385,-,3406,SOST,41836159
cg24048759,-,-107,ADGRB2,32229941
cg19157971,-,-116,RABIF,202858277
cg18821281,-,82,VGLL4,11685389
cg06029846,+,-51,PRMT8,3600368
cg07064197,-,-118818,LINC01782,32596822
cg10323457,-,29,PLEKHM3,208890251
cg25857018,-,-14,CRTC3-AS1,91260371
cg05780028,-,-188,SCAF11,46384357
cg04528217,-,-342,LOC100507547,32122142
cg13235160,+,61,KLHDC10,129710373
cg13421935,-,-4,TIGD4,153700882
cg09654157,-,207,C20orf96,271391
cg22269795,+,-418,EFHD2,15736383
cg12707548,+,405,MLEC,121124951
cg13028471,-,-32,SLC7A11,139163503
cg04132264,-,459,LOC143666,575885
cg22858562,+,-101,APC2,1450119
cg23695707,-,1624,GSC,95236450
cg09437360,-,-162,CACNB1,37353922
cg02196731,-,20,AFF1-AS1,87856002
cg12313215,+,895,ARIH1,72766670
cg20774475,-,-362,PAPSS1,108641390
cg11854791,-,181,APBA3,3761690
cg19167080,+,-208,CLIP2,73703736
cg18914215,+,-62,TPCN1,113659268
cg19354091,+,623,SERPINB8,61637314
cg09781437,+,-97,SLC22A18,2923507
cg04306050,-,-30,ATP5MC3,176046438
cg21140714,+,-165,CACYBP,174968570
cg02037518,-,-37,SLC43A1,57283175
cg05958510,-,-73,DUSP6,89746278
cg16799965,+,-275,PSME1,24605402
cg07537798,+,-309,NAA60,3508044
cg07916377,-,-178,FECH,55253934
cg11112791,-,-105,ARMH4,58618931
cg26725201,-,526,HTATSF1P2,3024124
cg11831004,-,-2383,CC2D1B,52831877
cg23296392,-,-7,PCBD1,72648322
cg01451205,-,190,USP2,119252400
cg11357813,+,-240,PPP2R1A,52693304
cg00116412,+,205,SLC27A2,50474392
cg00226608,+,-1264,WNK1,861744
cg16032162,-,21,ZNF503,77161674
cg25122252,+,57,KIF11,94352886
cg11328875,+,361,LRR1,50065657
cg23874561,+,5828,PRDM8,81118656
cg17422836,-,277,ANKRA2,72861464
cg08831354,-,528,KRTCAP2,155145780
cg26916117,+,-82,CCDC134,42196682
cg21574204,+,613,ZNF165,28048345
cg13833535,+,-371,POLA2,65029432
cg21155418,-,-24,SH3YL1,264743
cg15172601,+,-46,CDK1,62538088
cg24082573,-,-46,GSS,33543438
cg25167838,-,65,SHH,155605157
cg11172967,+,-126,CSNK1G3,122847870
cg08100565,+,71,SLC25A36,140660677
cg02247163,-,-750,RGL2,33266719
cg21087137,+,20,GLIPR1L1,75728449
cg00214294,+,-258,KLHL5,39046450
cg13907181,-,9152,IRF2BP2,234745271
cg25170997,+,491,NOM1,156742405
cg11832990,+,-56,PSMA4,78832746
cg05602854,-,-369,SMIM29,34216783
cg24298103,+,-238,CARM1,10982228
cg18013711,+,320,TICRR,90118817
cg06564284,+,93,CALM3,47104330
cg04784546,+,247,GABPB1-AS1,50646370
cg08464674,-,61,PIANP,6809981
cg23653391,+,-175,C6orf136,30614909
cg27402499,-,9,METTL6,15469051
cg15059257,+,-204,YBX1,43148088
cg26736273,+,-29,MPV17L2,18304027
cg18775587,+,116,LARP1,154134936
cg13944939,-,74,ST6GALNAC4-ST6GALNAC6-AK1,130679320
cg06406300,-,-365,PLEKHH3,40828029
cg18448361,+,37,RAD9A,67159456
cg25545182,+,-286,DRG1,31795589
cg19949589,-,-176,ATOX1,151138192
cg24755020,+,14,XPNPEP3,41253151
cg03270935,+,-132,DGCR5,18957980
cg00735315,+,-137,KIFC2,145691719
cg06382459,+,-384,SKI,2159757
cg16145703,-,7575,LOC101929269,10924599
cg18123911,+,-106,MIB2,1550879
cg09120138,+,392,TIMM17A,201924630
cg26257177,+,-151,MIR638,10829079
cg01822537,-,6,ADAM17,9695959
cg24542852,+,7,B4GALNT3,569104
cg19074533,+,20,ZNF337-AS1,25604680
cg21784768,+,-30,LRRC56,537526
cg21241291,+,-47,TEDC1,105957582
cg00145587,-,459,SMAD7,46475703
cg20011116,+,-258,NABP1,192542861
cg22275306,+,-25,MOB4,198380789
cg05044134,+,-196,VWA3B,98703629
cg13886231,+,64,GGA1,38004840
cg02725413,-,55,NRG2,139422884
cg02181309,+,203,MRPL52,23299095
cg02267312,+,-34,GABARAPL1,10365475
cg11390645,-,-40,CD320,8373242
cg14609106,-,369,MICU2,22178309
cg21568286,-,651,TRIM27,28891762
cg25719439,+,91,ZNF276,89787944
cg03168184,+,312,HHIPL1,100070874
cg17194154,-,766,LINC00391,95360740
cg00701398,+,350,C12orf75,105724468
cg06434480,+,-52,HMGCR,74632992
cg02153614,+,-357,TP73,3569079
cg17330695,+,-82,XRCC5,216974070
cg16689048,+,-19,GPR146,1084181
cg13366587,-,-167,TRIM45,117664371
cg21011691,+,-353,UTP3,71554248
cg06326853,-,-802,RHOG,3862189
cg08922811,+,30,PIP5K1A,151171027
cg00994693,-,244,CA8,61193959
cg21940568,-,-10611,SPACA6-AS1,52196709
cg11562466,-,-55,TBC1D7,13328769
cg18078821,+,-290,KCNIP2-AS1,103578824
cg23667555,-,-99,KRAS,25403863
cg19438565,-,13,ARC,143695840
cg17671608,+,45376,AZIN2,33547778
cg23301492,+,-27,TMUB2,42264570
cg07305938,+,384,HROB,42219297
cg13792075,-,-131,ABCC5,183735672
cg12812047,-,30,DIABLO,122710599
cg09308608,-,136,CARHSP1,8962863
cg17746833,-,-8600,KRT42P,39796451
cg10872447,+,-51,GTF2F2,45694644
cg24396683,+,-74,CNP,40118812
cg06569019,+,-5,TMC7,18995255
cg14172124,+,-24,HDAC1,32757683
cg23634087,-,30,ZFP64,50721827
cg13658893,-,-44,KANK2,11308541
cg08884209,+,249,HEXB,73981057
cg06273413,-,283,PEX1,92157834
cg24863624,-,-291,MTOR,11322608
cg14066439,-,-4839,FAM78A,134153422
cg25539644,+,4,FBXO4,41925382
cg07295964,+,447,CPLX2,175223535
cg22772355,-,731,COX6B2,55866087
cg10080270,-,206,KIAA0319,24646419
cg23514619,+,26112,TTBK1,43211218
cg05900931,-,-77,RHOV,41166432
cg02443583,+,49,RPS6KB1,57970481
cg04004754,-,350,SATB1,18466831
cg02111792,-,18,SPAG7,4871112
cg00651829,+,362,GNAZ,23412704
cg20947113,-,-231,SKAP2,26904209
cg09904774,+,2,CTNS,3539752
cg14858951,-,-186,NR1D1,38256842
cg11139684,+,-121,FAM177A1,35515477
cg15689570,+,-85,RNF8,37321758
cg15318532,+,163,RFXAP,37393358
cg16569430,-,-52,TMEM64,91658133
cg12956209,+,-232,PRRG4,32851472
cg09314358,+,-133,FICD,108909053
cg20340806,-,60,MOB1A,74406006
cg07126095,-,-132,COTL1,84651684
cg05895930,+,-212,ACBD4,43213053
cg13575339,+,2162,VSX2,74706151
cg06331271,+,-174,TTC17,43380469
cg06226095,+,40,MMAA,146540536
cg09516144,-,-177,CEP20,15982460
cg26969942,-,30,GPATCH8,42580774
cg06615380,+,506,LINC01342,1072396
cg12936746,-,196,HHIP-AS1,145567171
cg04482943,+,44,TMEM199,26684669
cg01658670,+,-74,YPEL2,57409015
cg16405637,+,199,SHISA3,42399504
cg00267596,-,-14217,MIR196A1,46709921
cg06565620,-,-84,CFAP53,47792865
cg20003144,+,-167,AP5Z1,4815253
cg08535148,+,-224,RBPJ,26321367
cg08081869,-,752,ITSN2,24583405
cg07154861,+,371,GLI2,121493443
cg02001200,+,397,HCG14,28864306
cg01517521,-,-92,USP12,27745948
cg22472411,-,-80,ASF1B,14247401
cg13544758,-,-172,SRPK1,35888875
cg11401866,+,862,HSPB1,75931989
cg26768067,+,-130,ABCG1,43639249
cg21361702,+,350,REPIN1,150065184
cg02572755,-,16,SUGP2,19144653
cg24083817,-,2749,MAMSTR,49220004
cg02473953,+,-469,RBBP6,24550886
cg20074569,+,4,SEPTIN3,42372512
cg04897742,+,-141,FBLIM1,16085289
cg03604796,-,51,WDR91,134896278
cg25976016,-,314,UQCC2,33679477
cg06276708,-,-10,AP3B2,83378627
cg19864007,-,11,ZNF649,52408270
cg04467958,+,-433,PCM1,17780496
cg02708722,+,-46,GTF2H3,124118375
cg01268683,-,-12,ZNF83,53141608
cg25960313,-,45,FBXO5,153304176
cg05969021,-,-13,ID3,23885992
cg01305328,+,351,SLK,105726897
cg11717150,-,777,CDC42SE1,151032098
cg04212979,+,-294,LOC100507002,63096929
cg16834496,+,-68,CASP7,115438952
cg10333767,-,-24,ZNF250,146126838
cg04317366,-,-284,PRPF8,1588161
cg13359699,-,-754,GFI1,92949371
cg18499545,+,15,EBAG9,110552401
cg13354228,-,-382,TYMSOS,658291
cg16986624,-,171,GNB5,52471888
cg16300524,+,41,MAST2,46269283
cg06304401,+,970,NLGN1,173302223
cg15974272,+,361,KCNQ1,2466237
cg26538468,-,287,ABHD3,19284735
cg25989057,+,-53,AIP,67250496
cg00042144,-,-131,C1orf74,209957904
cg12783640,-,12,ABCC5,183735672
cg07520158,+,89,AVL9,32535100
cg02755603,+,400,SMIM26,18548075
cg24740531,-,1270,BCL2,60987002
cg00607264,-,91,DNAJC1,22292659
cg01122672,+,89,ITFG1-AS1,47177978
cg08579082,-,-59,LONP1,5720463
cg01330670,-,223,TBC1D8,101767844
cg17100207,+,-324,XPO7,21777172
cg16460359,-,-131,CELF6,72612498
cg24913154,+,162,CDADC1,49822060
cg11552183,+,-44,ZNF277,111846749
cg23468897,-,-94,PDE11A,178937504
cg03656968,-,91,RDH13,55574516
cg01915044,+,20,TM4SF19-AS1,196045202
cg01995078,+,-129,EIF3K,39109827
cg20018234,+,158,LMNA,156084501
cg20448053,+,365,RANGRF,8191987
cg10530644,-,6,NSL1,212965119
cg18334211,-,395,PRKAG2,151329319
cg25615509,-,-77,PRR14L,32146118
cg00729475,-,-129,GDE1,19533420
cg03397575,-,208,C10orf67,23633726
cg09033817,+,60,SEC14L1,75084766
cg12179044,-,154,GCN1,120632518
cg21043815,+,284,PCBD2,134240820
cg26297431,-,84,PIK3R3,46597443
cg19009756,-,-257,NEDD4,56285810
cg01298010,+,-365,NLGN1,173113741
cg13930300,-,-894,GFI1,92949371
cg14288209,+,217,DNAJA1,33025270
cg22191731,+,46,GATAD2A,19496651
cg23911396,-,-215,EPOP,36831210
cg21098856,-,-22,LOC105372493,1099091
cg23630468,-,-2,ZNF281,200379164
cg01954683,-,930,SERP1,150264283
cg06043109,-,294,RAD51-AS1,40987303
cg19910201,+,-104076,ZNF92,64838767
cg23137483,-,-150,RANGAP1,41682191
cg20393324,-,-37,NKX3-2,13546132
cg21534413,-,-1349,MYO1F,8642326
cg09215152,-,-193,PPP2R1B,111637113
cg27280296,+,69,TDP1,90422270
cg03135351,+,-22,CLIP4,29338280
cg11738446,-,-139,SEPTIN4,56609421
cg04349565,+,22,MIR638,10829079
cg23765003,-,-17,MMD,53499196
cg08721347,-,-145,ALG14,95538507
cg26577201,-,351,CRYBA2,219858144
cg04480383,-,-98,PHIP,79787971
cg24516711,+,-249,ATG4B,242577107
cg08251499,-,-38,ZFAND1,82633539
cg21877974,-,454,SLC2A1,43424539
cg11189715,-,-150,PLPP5,38126742
cg26311118,-,-234,STK10,171615228
cg00771049,+,7759,ARPC5L,127624408
cg04865412,+,-63,MIR632,30677127
cg14886150,+,-193,MADD,47291683
cg22986488,-,-104,VIRMA,95565697
cg16567957,-,194,WNT10B,49365518
cg08817786,+,-64,EFHD1,233470766
cg15059162,+,20,ABHD10,111697872
cg03981352,+,600,SPATA5L1,45694533
cg27372468,+,126,SLC22A4,131630086
cg11248296,+,-139,SLC25A44,156163894
cg24374159,+,106,ZNF22,45496370
cg20625393,-,13,SMARCAD1-DT,95128707
cg00885176,-,-25,LACTB2,71581420
cg16017358,+,312,HAT1,172778970
cg11266921,-,-401,BTBD9,38607705
cg25595873,-,480,MMS19,99258179
cg17341358,+,122,MRPL1,78783983
cg24364518,+,-76,PSME3,40985413
cg04730071,+,107,LOC729683,61777697
cg15579587,+,-786,LRRFIP1,238600847
cg07258794,-,-105,RGS11,325944
cg10640379,+,-548,LARP1B,128982466
cg09377149,-,262,TMF1,69101484
cg25134683,-,-43,LYRM2,90348466
cg08019564,-,-33,RCBTB2,49107216
cg15302128,-,-50,ARL3,104474154
cg05739190,+,47,CCNJ,97803339
cg05071623,+,-258,ATRNL1,116853123
cg27247702,+,-22548,FOXK2,80477607
cg26261192,-,-39,GOLGA8B,34875852
cg07038191,+,-189,KIF22,29802071
cg10836036,+,58,FDPS,155278656
cg04375213,-,188,DCP1B,2113623
cg02054559,-,-150,DUSP3,41856345
cg26202847,-,2434,HAND1,153857787
cg25986360,-,26853,NUMBL,41196069
cg24850331,+,-173,RAB3IP,70133160
cg09414612,-,354,C2orf68,85839189
cg05134500,-,67,MELTF,196756688
cg24428325,-,-9463,LOC105375075,44519618
cg08479688,-,185,TARBP1,234614925
cg07352234,+,-6,MTBP,121457658
cg05547654,+,-386,RPL13,89627064
cg05694406,-,216,HNRNPF,43903226
cg05345116,+,-141,PHACTR4,28696250
cg19547629,+,542,MYRIP,39851099
cg07498874,+,584,STRIP1,110577245
cg06703062,+,30,MATN1-AS1,31191618
cg17245548,+,5,C2orf15,99758169
cg12528403,+,-112,ZNF684,40997308
cg15654259,-,12137,NHLH2,116383324
cg13771733,-,291,SPOUT1,131592073
cg05916588,-,134,PIP5K1C,3700466
cg20571543,-,-152,CCDC34,27384762
cg08261177,+,343,ALDH16A1,49956481
cg07835668,+,-155,PPOX,161136215
cg21424801,-,128,PPP1R10,30585020
cg03915298,-,368,DCAF8,160232339
cg04050020,+,358,CDYL,4776637
cg03047688,+,-139,CHAMP1,115079977
cg23905935,+,112,ATAD5,29158983
cg27042081,-,239,ATL3,63439446
cg18183014,-,-35,STIL,47779819
cg16090885,+,-206,MARK3,103851751
cg16986298,+,4289,TRNP1,27320182
cg24019521,+,-126,EGR1,137801167
cg08026009,+,-60,SLC35C1,45825956
cg15248591,-,-45,FARSA,13044525
cg21580058,-,238,VRK3,50528629
cg14961949,-,0,SHOX2,157824209
cg24520800,-,154,CAGE1,7389975
cg24693287,+,-209,SERINC2,31886059
cg05890887,-,-57,RPL9,39460542
cg27353361,-,97,SCML4,108145517
cg24216114,-,7,WASHC3,102455902
cg09286183,+,2496,SYNGR3,2039970
cg14009731,-,-130,ATAD2B,24149993
cg11257240,+,-406,SKI,2159757
cg12206225,-,-80,SIL1,138534057
cg09900463,-,5256,ZNF213-AS1,3184883
cg16451355,+,-16,UNC79,93799564
cg10777361,-,-183,NCOR2,125052158
cg13378628,-,-155,OTP,76934538
cg20041802,-,-173,RORA,61521501
cg21746222,-,92,PIP4K2B,36955809
cg01000656,+,-582,SPATA1,84972068
cg21865533,+,-40862,KLF2,16435636
cg03001457,-,260,BPNT2,57906426
cg00600786,+,35963,LINC00595,80027098
cg02611892,+,5648,ISLR2,74422926
cg13333405,+,-152,SF3A2,2236822
cg15759616,+,-204,CERS4,8274253
cg25803426,-,43771,ZNNT1,102182467
cg00666685,-,-20,NAA80,50336836
cg24824417,+,-5902,MIR129-2,43602943
cg10274403,-,-30,HSDL1,84178782
cg02324974,+,-41,PUS1,132413820
cg21171130,-,217,EMC9,24610800
cg13347679,+,647,BRPF1,9773418
cg26449836,+,-7,SSBP1,141438157
cg27219598,+,-26,TMEM184C,148538547
cg15674596,+,99,KNSTRN,40674921
cg05337024,+,-142,LDAF1,21169994
cg23442955,-,55,USP24,55681037
cg03075561,+,-14,NDUFB3,201936723
cg12940747,-,-29795,SENCR,128565918
cg02576701,-,-42,SPC24,11266458
cg00372354,-,-138,KANSL3,97304049
cg24768974,+,12037,FLJ40194,47325604
cg23668805,+,-227,PRXL2A,82168306
cg14026927,+,-201,FDPS,155278656
cg25642048,+,363,RDH10,74206836
cg10691036,-,-43,C19orf73,49622400
cg22385817,-,15,TRAPPC1,7835264
cg17255062,+,-14,BORCS7,104614015
cg21900416,-,70,SERTAD3,40950242
cg01532600,+,369,FAM234A,284819
cg08526825,-,372,SRRM2-AS1,2802601
cg22832527,-,-104,AHCY,32891161
cg22156267,+,537,FAM222A,110151629
cg14143241,+,12,TMEM43,14166551
cg05651688,+,-25,ZMYM4,35734309
cg05415724,+,-3,ZC3H6,113033173
cg22182610,-,-496,NEURL4,7232654
cg14834760,-,519,RNF19B,33430410
cg08290993,-,248,PPP1R18,30654984
cg20545551,+,-119,PEX26,18560755
cg26618668,+,-123,ARHGEF28,72922020
cg00007981,+,588,PANX1,93862006
cg02407785,-,183,PCDH9,67804468
cg03381996,+,24,TPD52L2,62496622
cg03931927,-,-58,LINC03006,65215911
cg01385230,-,-168,ENTPD4,23315160
cg26752263,-,46,GCLC,53409899
cg25768103,+,29,SLC25A42,19174802
cg24252287,-,112,ZNF385C,40250491
cg00514413,-,-126,CBARP,1238004
cg14592406,+,230,CABP1,121078428
cg18388639,-,52,UPF2,12084808
cg17047734,+,154,ZNF594-DT,5095301
cg04987149,+,-77,C1orf122,38273461
cg04866162,+,988,HSPB1,75931989
cg05802532,-,374,APTR,77325582
cg03465782,-,169,ENTPD5,74485991
cg00877401,-,105,MRPL43,102747254
cg09564068,-,-190,LINC01063,196359458
cg23375440,+,4,TMX2-CTNND1,57479994
cg07114770,-,-21,PDE4DIP,144932115
cg25763036,-,5186,NKX3-2,13546132
cg26092468,+,-233,KIAA1586,56911490
cg19607838,-,118,STK4-DT,43595099
cg07231955,-,-5007,MECOM,169381500
cg08914916,-,-16,SARS2,39421403
cg17389218,+,-295,ACVR1B,52345482
cg17872895,+,29,DNAJC9-AS1,75007124
cg25381711,-,-279,ZNF521,22932130
cg21445541,-,63145,CD247,167487766
cg00467202,+,-172,PHKG2,30759745
cg27373836,+,-38,MIR5703,228336847
cg12043807,-,220,ZNF367,99180652
cg15076191,+,85,MDH2,75677423
cg00466158,-,117,ZMYND19,140484964
cg05727691,-,9,TAF11,34855848
cg24313640,+,-72,CLP1,57425233
cg07259581,+,60,SEPSECS-AS1,25162293
cg24014462,-,-47,ELAC2,12921344
cg03779431,-,-36,APP,27543088
cg15367487,-,-164,EIF4G2,10830473
cg05533744,+,311,E2F4,67226057
cg04645049,+,-161,ARL6IP5,69134087
cg07087018,+,-43,NUP93,56764040
cg11198863,-,56,SHQ1,72897596
cg23694114,+,-222,ADORA2B,15848443
