,Beta
cg03696628,0.028422978543270572
cg19623875,0.02396147918158348
cg08348959,0.016627629423343882
cg06931446,0.03310982708361113
cg14353231,0.016094970828365047
cg07242215,0.015588852020531258
cg16997989,0.01850064108266785
cg23314283,0.024613148870919695
cg10562791,0.016568722116954936
cg23671665,0.018193482802516217
cg13501507,0.024403347291269757
cg14203252,0.02473489504669183
cg17101553,0.027873803073669812
cg22661950,0.02162960702632722
cg03609454,0.016566941311247817
cg09664259,0.016158437625573695
cg13159805,0.02143092171219531
cg27037103,0.029267371001487883
cg20463945,0.02472617856342309
cg03530793,0.019633111060063223
cg23066879,0.02825565803379304
cg18270629,0.01756202740620127
cg12831102,0.02994673185565183
cg03314166,0.032981020412580886
cg15079565,0.035602003509357175
cg03212862,0.017036558298767664
cg19297845,0.029175116941677848
cg25946216,0.015662947512775905
cg07173973,0.024499659162764278
cg14417372,0.025262235954241548
cg14806252,0.02523813472976336
cg16485682,0.011354960922137123
cg20806502,0.02780139233754994
cg08551680,0.014366650104870538
cg11640675,0.034238415670288666
cg14016074,0.016901644786282442
cg13973639,0.023980191849925933
cg02264990,0.029009491943204225
cg05417615,0.024333810517242267
cg20457962,0.03390285948308119
cg25301406,0.02970675687737455
cg24658930,0.024934957373842676
cg15686064,0.02883988560244499
cg08222610,0.025825073731650397
cg11162249,0.015279031112973514
cg06689961,0.018879579490692095
cg05963712,0.017341171181896806
cg19739264,0.0121073509687901
cg24255928,0.03144510340916235
cg06879406,0.02756381685651136
cg03921896,0.022661045656240632
cg07586819,0.018185781531027307
cg25870420,0.01937318248497052
cg01906998,0.023442515427105768
cg21424801,0.012498834642247103
cg04261248,0.017572128872382613
cg16449476,0.0196026810345205
cg20361001,0.024961070445252153
cg02676434,0.025707619582409563
cg07544653,0.0134174570096929
cg15676203,0.01813990620416488
cg06368569,0.032151338722716555
cg16659246,0.01857579741038754
cg11918372,0.033548078990363966
cg21241839,0.027533245037337808
cg05375277,0.016152419477806546
cg27032965,0.02464551689596492
cg19576806,0.02168854795423767
cg02411961,0.020028437277956713
cg03907738,0.022199917656219557
cg20799547,0.013822430690868043
cg13861904,0.026575335744359534
cg19641395,0.020266490660740204
cg25245636,0.03257045680240923
cg26276877,0.023590947949718846
cg19594360,0.029081399876364024
cg13399569,0.020581548228956022
cg11845033,0.020442389646110306
cg22476295,0.02470702350321649
cg16200844,0.02460022898173485
cg10984505,0.036602164286974555
cg01733271,0.02121088972331018
cg10230355,0.02104482399821526
cg09907840,0.015464347485823135
cg20842997,0.02043086935232035
cg23621158,0.016882443502639788
cg01807202,0.014880995854144177
cg09446995,0.02153116493875856
cg11740099,0.021137785454251438
cg22819502,0.020986810988735043
cg18318704,0.0298025548640202
cg04184042,0.0308704698729326
cg09134840,0.026794926069668594
cg14341558,0.025418274946105573
cg23016766,0.01171252445600767
cg10718813,0.029186220342631474
cg24751407,0.015946048616785665
cg05451573,0.02399249386579925
cg18214799,0.016511296289019626
cg04603730,0.02265566436521444
cg24121098,0.017532593750133253
cg20744304,0.024185941678664485
cg11122939,0.02079297967374173
cg23889414,0.019942065013088504
cg15993795,0.014738210868426511
cg16317459,0.023229250970201985
cg19447156,0.027159728097834325
cg04912843,0.021941899041583463
cg24252925,0.03353029941630311
cg11073571,0.026219716301250577
cg25467603,0.028644305185084862
cg18936022,0.014468223038881692
cg08443635,0.018737774993159356
cg08446657,0.026185201461886576
cg10330832,0.02472135380497403
cg08128766,0.020264227934298648
cg02107269,0.014880421232698665
cg09450020,0.013875088260312696
cg10663781,0.026517741775922504
cg13270406,0.015838766047088674
cg02889909,0.02477638281160539
cg16307587,0.01614160505554199
cg06101177,0.02090387681409444
cg09154978,0.02433266180748783
cg21357024,0.02695049142036405
cg24624349,0.017345746456692582
cg23432345,0.017027708656300204
cg02218134,0.02580628715060057
cg07265622,0.017900913293520067
cg25563233,0.0336538965693315
cg09594067,0.01517946678323454
cg03599729,0.020071784917211007
cg04133097,0.024024715324663905
cg26002253,0.014470093815066684
cg22818549,0.03100280175658042
cg00415263,0.018026607713943456
cg04676715,0.02915082904656688
cg02376703,0.026858908124644428
cg03113878,0.020089598574542362
cg18959411,0.02791440280698664
cg09904774,0.031132529316780885
cg06886207,0.016369413552691923
cg24296786,0.028202714899955388
cg05302386,0.023888768416886103
cg27201871,0.012298307196755719
cg11013164,0.018024588847045147
cg14813588,0.02614999160755783
cg12032116,0.0337862702745379
cg17872064,0.02506182250603195
cg13764991,0.016760386939347022
cg14400079,0.015427183612055131
cg26366663,0.026415194777842797
cg07037004,0.022232270569075178
cg04024839,0.019299948025481663
cg27516940,0.018542285673292004
cg06376129,0.02191681346669289
cg05505929,0.02250126500329506
cg07829071,0.02507961958826261
cg03637975,0.030785826126586754
cg21964400,0.019988855511307208
cg27410012,0.024781823606803123
cg11183000,0.014260172835020846
cg02831473,0.020392126771233348
cg16113748,0.020349687072743455
cg25068063,0.028568872884823043
cg22625347,0.024947274331787273
cg27185128,0.03721273012378415
cg08263066,0.014254764265240572
cg21082122,0.018904124853732638
cg06785302,0.022150564639098657
cg00868747,0.024529536382946526
cg08025512,0.02542194450924559
cg26463020,0.032249206476554874
cg10541674,0.018198543735942544
cg09326546,0.022220695751102405
cg14507002,0.03539326474717541
cg26569395,0.021478196639811282
cg02337568,0.02381023779539997
cg12385672,0.0221030947700686
cg27249178,0.033421056753553724
cg09571097,0.031223461804369183
cg05687194,0.020514723461496086
cg17475456,0.03051396121671576
cg22812972,0.022558407472291965
cg16520288,0.03197139672489156
cg02933362,0.02419854612831024
cg07385577,0.016598261245799873
cg19045733,0.030463365742249653
cg18691242,0.017422063008969306
cg01304814,0.019099660627105736
cg17069702,0.028873257366928185
cg09253914,0.01705941003802374
cg01273790,0.012072781383754951
cg23029546,0.024392721537645125
cg16852837,0.022648852955492654
cg02616975,0.025968941368716865
cg07192559,0.028721596169188488
cg05179659,0.028702026329784917
cg12803694,0.02729522428877886
cg21901946,0.016769049927336414
cg09068665,0.029294786225959754
cg09360748,0.025187880904805015
cg10089247,0.020360318099838216
cg11228113,0.028083086516929232
cg14192396,0.013867494214372689
cg06086148,0.018649415525259592
cg13759808,0.013372625855334696
cg17972094,0.02281847586010928
cg16553106,0.027007104190219258
cg05318026,0.026309242186403174
cg11189052,0.01801124258866474
cg09133006,0.02240940869385951
cg17271338,0.017099994461437916
cg16098780,0.01809915720065036
cg03795316,0.01902020672924816
cg00478599,0.017941111871872494
cg02346860,0.03799963217021432
cg19456164,0.016458393799610033
cg04504182,0.025682547461698155
cg24129914,0.026220046213890152
cg15311353,0.021533985384416088
cg14935378,0.02612634997992857
cg27331144,0.02145174898731632
cg13741289,0.01972178860103263
cg00242478,0.02558260335764242
cg19857071,0.026440876652195147
cg23305502,0.017160378081566372
cg14241672,0.015622879571941266
cg09219177,0.026693326161267315
cg02221684,0.017404687053047797
cg10244268,0.01575779920409051
cg18485485,0.018950593999982352
cg15991862,0.026232879504089514
cg27477610,0.031373233384175164
cg16792604,0.012521237317076692
cg11599569,0.01917749153441015
cg27188115,0.017844736112375196
cg05721830,0.022011469736411333
cg11850058,0.028266933492691593
cg16535717,0.028585480625680865
cg14539394,0.02641589512342097
cg09695652,0.022083619222565822
cg19118212,0.02436653695031722
cg11222948,0.03207469885561664
cg04371288,0.019711326441042627
cg05260062,0.026875583922631015
cg20353465,0.0255394128183397
cg19901191,0.030924453461884098
cg20829379,0.01563696728312344
cg11850622,0.020968639212533034
cg10491652,0.027966573166231207
cg25637824,0.014981604696766803
cg04482794,0.01979993582796654
cg21247472,0.022878780459500096
cg07002965,0.012790754244110171
cg17487993,0.01675965773696906
cg01517521,0.02140502506433539
cg25020157,0.02304476909951308
cg14481263,0.01781771535388785
cg01857342,0.03370024710235504
cg07981910,0.01620174617767877
cg08460793,0.02661037243464221
cg14992155,0.023099156249729698
cg18809841,0.017438402641118924
cg14615425,0.02495717119652749
cg19354091,0.02200368835035706
cg11166106,0.03352909749859925
cg01131147,0.02107292879797923
cg23518699,0.020927729137788693
cg24500441,0.01611725480465963
cg11227628,0.023942195385006335
cg05427966,0.029226312592762118
cg12910951,0.013567867004845547
cg21171373,0.02168781731729105
cg13278911,0.02264501061249666
cg10130426,0.01674957190776587
cg10732215,0.027363634442009323
cg16014989,0.014004314129653785
cg09584155,0.02201855299175355
cg19843028,0.0234158703547205
cg02984159,0.026176159081947304
cg09105479,0.02158836500198505
cg05140079,0.01530503899151931
cg02298059,0.024051969442885093
cg21636400,0.023917349021547
cg18401645,0.015175197780773869
cg16556145,0.019271174616022888
cg05656830,0.01884250300029839
cg01327474,0.03212348816294517
cg23883215,0.019349569334358704
cg15768270,0.024459328799576914
cg05044134,0.025812041315382603
cg17299615,0.018874825439099824
cg18647881,0.021061147813713977
cg07328417,0.021475433380253785
cg10470447,0.03318342921291338
cg08831354,0.029947921333453722
cg04488837,0.019228731400062166
cg11454719,0.0342716545394604
cg22356593,0.03320646541060538
cg14392392,0.022089488693872995
cg15910323,0.020002697118836073
cg04089426,0.015410176826386297
cg08455454,0.02618745901829102
cg10088075,0.025105313108113973
cg03586905,0.023550795250538555
cg04175895,0.011449332351298108
cg00088299,0.015339101612745237
cg07229938,0.024468202543680234
cg01154392,0.024283494004832283
cg20850195,0.01773846466569125
cg09972205,0.016222869028045615
cg23936585,0.016285499043215933
cg00360072,0.01840341325280208
cg22286978,0.01788269879702606
cg02869963,0.03068459899178598
cg16016616,0.02998955716389419
cg23641682,0.027788378561135096
cg00174466,0.023762770083625945
cg22823183,0.023926210735427212
cg09942741,0.016601770729852774
cg25208017,0.025604190446290406
cg02291472,0.029230878145546542
cg22159075,0.01789527832697896
cg00043371,0.01963068057079946
cg17366378,0.020250083413500666
cg21570130,0.029371867178235277
cg18395988,0.01606648438035642
cg21784768,0.018553168709092547
cg21490755,0.0208038698952557
cg02668471,0.018680970767899513
cg07602980,0.018919786702926013
cg17350720,0.023232525624894314
cg00994924,0.015764368093270118
cg13064914,0.011841665572096162
cg07258916,0.03006529704193522
cg01258587,0.023374980653174088
cg24088438,0.02387279684663364
cg13411583,0.02025868578312803
cg15358937,0.015004519575885176
cg05276175,0.02828380828790882
cg25824330,0.025119697295556055
cg08886727,0.0245670251502525
cg19449219,0.023366986305742375
cg24693620,0.028509432768621973
cg13539030,0.018267997410129078
cg21832731,0.023010603543587905
cg11906038,0.027361246328045243
cg04611479,0.014398189700879898
cg05130406,0.02011463028412742
cg10431481,0.01968685697555315
cg23220551,0.025482022091810087
cg15768968,0.014818593633973186
cg14107883,0.01879297704988339
cg20421914,0.012091996501166465
cg18858343,0.025344129449916326
cg11753193,0.01921763528069838
cg04741821,0.02733408022408013
cg07482935,0.014569427524491302
cg14704079,0.01567318726736139
cg02658657,0.023807562829254263
cg14875449,0.029687175164107155
cg11819639,0.029353770560264898
cg24863624,0.02377835980080666
cg09829379,0.018330858068479054
cg11566061,0.019413372881917062
cg19801141,0.02683567010945731
cg21923442,0.025747108570338156
cg04772683,0.01772940899111275
cg16214492,0.014449660257427438
cg19344870,0.01898186383425115
cg11961683,0.013992070842203226
cg05032399,0.015442808861324788
cg03008727,0.019978067558480653
cg15772712,0.017423618665913333
cg01311717,0.022121113736944732
cg04512050,0.0141709180693592
cg18798922,0.02556327005831048
cg17053415,0.030026150409374886
cg11396473,0.025847955701353405
cg00257786,0.01962442234518522
cg03208016,0.02119655922728044
cg07838205,0.03629454082512574
cg13031432,0.02777137904458551
cg18877635,0.018640803430325648
cg14457439,0.029109958034391044
cg03219282,0.025274749319696543
cg08817422,0.03012064836015961
cg01264379,0.021423704800305685
cg22612116,0.022339961602577122
cg05180560,0.01860190166413252
cg00298675,0.025182296755621027
cg14695609,0.016923359196799385
cg10594818,0.022376413479656423
cg12733707,0.02947963430844976
cg16674323,0.023130146947240575
cg25684844,0.024100253251678812
cg25572309,0.013396136761752315
cg27016906,0.023774974671268777
cg03897456,0.026343119161229975
cg15825536,0.02525115445304141
cg00002406,0.022757528827272507
cg03140418,0.014606756401976857
cg20581322,0.020673592477122856
cg03809147,0.02039670803611585
cg16021182,0.02756239286725331
cg27658771,0.02748693065028418
cg20845748,0.023784976714830534
cg06510830,0.02429228554015411
cg06805873,0.018893971884657006
cg01120994,0.017120652922952923
cg18337803,0.018676894537886124
cg18036140,0.02527300567922943
cg18501615,0.018119821445621073
cg21025551,0.02700360365559051
cg21815479,0.03422065111825252
cg00405843,0.014538655489221326
cg23909597,0.0350499991361449
cg23210687,0.01638062470147566
cg11439475,0.020461259101006976
cg04732910,0.019176590381132338
cg11705881,0.021277147744156642
cg11036338,0.03532633451525594
cg18331396,0.023757262921903673
cg02890126,0.020736393615557826
cg24601037,0.016631765362261127
cg15531235,0.03052288943804344
cg26455541,0.024645075543953024
cg20251008,0.028410518484346423
cg01012308,0.0118005177096918
cg00499750,0.024383899220841544
cg03020885,0.03020053808170771
cg06101725,0.02805497964838271
cg15205527,0.01960821797990641
cg01070148,0.024150397892546877
cg08423420,0.019550207940491608
cg15187882,0.015252027655713435
cg13980399,0.014537340570663033
cg26212877,0.023531936502117597
cg04852989,0.014597395033165303
cg26878778,0.020560903976839948
cg10926516,0.021798030237540143
cg26968203,0.027651051740254923
cg09597785,0.014613722078745828
cg01120898,0.023538045103068832
cg13182412,0.029844744304669994
cg21949518,0.023659303730630375
cg16018152,0.015769683741790594
cg17523461,0.022037689154758868
cg15055494,0.017355547464784248
cg12810189,0.021435606505550722
cg21336547,0.019415602335202356
cg10796467,0.026923880322766516
cg13186228,0.0248089698874738
cg11430157,0.025356492646633533
cg00183957,0.025642768586979347
cg09896057,0.02042487594743721
cg05149425,0.026208825664284906
cg16285203,0.020032790885167365
cg11608897,0.023787925906798135
cg03251615,0.03098081473561183
cg23543123,0.015202943541519125
cg00857557,0.028309470180164054
cg24083557,0.01200861204614526
cg08969912,0.017395618850080428
cg16700650,0.032773179961517816
cg07143296,0.02013003947469549
cg02956254,0.026363856682919354
cg12462991,0.01649877828561144
cg19807537,0.0320537189924782
cg15692687,0.01390425594603241
cg11834140,0.01776134339921557
cg21712019,0.022685811293187925
cg11721464,0.03198828757942681
cg16723134,0.03298678277564096
cg24103837,0.02816061413254823
cg03701005,0.025309388818223724
cg19521934,0.022997260324620215
cg06085877,0.027780364198986347
cg01465361,0.02326227002599801
cg18924493,0.017750839233625477
cg10364514,0.02237734434169209
cg17390350,0.023379309717683663
cg19704520,0.013446202822025443
cg22540800,0.020954772734824018
cg02368765,0.027774442319645272
cg23709117,0.02500060488783859
cg18357563,0.031696226684795895
cg27527736,0.019217761523208747
cg03202064,0.014920838987216892
cg05725531,0.025950790498529823
cg23291754,0.018736915358023357
cg25834275,0.017198837811469334
cg00168514,0.019889529454140145
cg05229898,0.025831846050051992
cg15969216,0.020465498405203644
cg08893875,0.033236882172556395
cg18120278,0.025234918164892556
cg19423014,0.026113542205361256
cg26820501,0.025168140336386348
cg00819696,0.01791060147386672
cg05433285,0.01845635204650413
cg21558323,0.01793452448018461
cg11364645,0.021935754192174566
cg12170917,0.01234448650235677
cg03062002,0.01499197437440749
cg04963424,0.023647364354313513
cg26015190,0.021748100555088527
cg12205244,0.03310152273771512
cg17165905,0.01734723924710623
cg24061702,0.028083756870946646
cg10233691,0.020357367362754304
cg09169938,0.020862049664515776
cg16921083,0.030313493498759
cg26127046,0.02671833637226886
cg04518912,0.02646131444997282
cg00747619,0.018182231201917667
cg23943879,0.02082194076380164
cg24087235,0.021914063684851066
cg02197918,0.017139103890901557
cg13524161,0.032271204076610105
cg10090279,0.02379572548200963
cg16822606,0.02703600125427838
cg21609430,0.02225267822956738
cg00547758,0.018236991425187875
cg01108219,0.01858432933373088
cg15119377,0.018852923829004956
cg06435260,0.023044314941241855
cg08530030,0.015867127533606067
cg04852103,0.01947176880142086
cg08623154,0.019224412267475108
cg11078994,0.02126478247822822
cg25613251,0.016391230859749154
cg06525892,0.02293152007804949
cg11065634,0.025932238671435934
cg12602703,0.013850059746228587
cg07471462,0.027033399274129864
cg11657970,0.017188615097355756
cg06294637,0.028848393113104987
cg02190746,0.013604305940013654
cg26862690,0.03074430873729684
cg00063649,0.0167964975875052
cg15300989,0.02777312341091801
cg18825927,0.03203186518589333
cg07134102,0.017995473000973147
cg05475156,0.024484629080432453
cg20062650,0.034678972053801146
cg26505959,0.016395353059140846
cg06424097,0.018455032877390882
cg23847162,0.02342103571754722
cg14666006,0.032850939504550744
cg17534899,0.024801692316891985
cg00558737,0.03264998529703142
cg24881330,0.0200275524634898
cg19628046,0.019985066907008468
cg07734351,0.029807834180465582
cg16484943,0.028263089131287788
cg04741133,0.02054185050107154
cg14723331,0.027726924680251435
cg21315798,0.017151580046572048
cg21851693,0.02717401446899649
cg18607757,0.02758314130694249
cg02582608,0.021221946016011364
cg06238409,0.02976407462756487
cg03946452,0.02110540794004032
cg13968182,0.02000544304345777
cg06318592,0.030694287823337912
cg20588618,0.022552445279188864
cg25400229,0.024278255909148543
cg26386886,0.028308533361153642
cg09247949,0.015766162324173532
cg03156032,0.016424625952618958
cg13713293,0.01442169419405097
cg17461666,0.030319875158809642
cg08619797,0.025718997088272896
cg11008718,0.016892639282348403
cg02167732,0.023029650020037172
cg04619859,0.029120651836440165
cg24457886,0.01483116462882139
cg25826457,0.030509754882891642
cg04433990,0.02645761794821744
cg04598325,0.024401429146520145
cg07444131,0.023905178123047707
cg21363128,0.03277897325630417
cg16528022,0.03690019741514689
cg24631970,0.021308129655741057
cg19716902,0.02313191085478776
cg26080673,0.026202905442155186
cg21654684,0.01807912670124247
cg10777679,0.019441633356101544
cg23521916,0.017109478800228593
cg24331312,0.02760090698517957
cg15368722,0.018858169547188865
cg25913520,0.02847637935906429
cg19655006,0.022616543845601116
cg10507099,0.03752745783511294
cg21207916,0.016504765686756597
cg05952755,0.022485169353836317
cg03694261,0.025422444855391937
cg19886448,0.016983982624807173
cg24106943,0.018004084093778412
cg22703061,0.01863160701169661
cg18126883,0.01564644446681443
cg24717401,0.034167984714500964
cg07661818,0.020385344552014115
cg24305381,0.029512651372908885
cg21204356,0.02793361031042158
cg08703595,0.029051506751360555
cg06623560,0.014904859589495995
cg07173100,0.03714098941948948
cg24274600,0.022615372638015437
cg05426702,0.025351421335924988
cg10038679,0.015097083696735831
cg04480383,0.028094671273714768
cg17683390,0.017229533051614048
cg08614771,0.023237712558472266
cg25083496,0.015250655767501453
cg00325599,0.019462878708093417
cg24149898,0.02638701177333736
cg13095416,0.026023388270730932
cg05761032,0.022178899696759836
cg02213340,0.01741190765571518
cg20491397,0.0138987502960447
cg07385743,0.02778048006728445
cg18044385,0.01474109755471505
cg22952834,0.023516468371178243
cg01172640,0.02012905494249982
cg22866835,0.02368291300348008
cg18527268,0.02125117610922454
cg22322863,0.013835058191854443
cg13190531,0.016557819190343513
cg02640020,0.02150702438302901
cg11738162,0.027120263389213417
cg05107429,0.023583495150783527
cg07306197,0.02665157144709662
cg17313420,0.0210958706475068
cg04292359,0.01736990173902491
cg18941796,0.024301966174453283
cg26272614,0.015648696342714288
cg08571203,0.02309862780312738
cg14271400,0.025680477227923357
cg11715903,0.01805854835254983
cg24098404,0.022932141183627134
cg13987669,0.026414992989063083
cg08891904,0.02525479916090931
cg06047995,0.01843901672630536
cg03963929,0.01903330856092383
cg05326023,0.01784858015627835
cg02007638,0.021035581373214967
cg17103705,0.01644353875369677
cg26273962,0.013363310558324114
cg10789018,0.025113834624038205
cg11219407,0.010321432937613983
cg22807378,0.014519877095004562
cg21421408,0.02486907941141952
cg17497419,0.025511120252938387
cg17093642,0.017218517421300344
cg05529506,0.026456408813092778
cg14256180,0.028448051293776748
cg27506178,0.021272599806593254
cg03544426,0.024493505990293027
cg22251685,0.020019438799106004
cg10836036,0.016041989717236523
cg10314172,0.012991159793626604
cg17214737,0.01930073518572032
cg01939597,0.026523625764491323
cg22866085,0.022926080993713478
cg24996433,0.03518945264922279
cg12713848,0.014073045587625893
cg00886954,0.01624734280334323
cg07733620,0.029677478699974544
cg10927719,0.020551314031779042
cg18200827,0.024940652334869928
cg22235012,0.029666327169671294
cg16860587,0.031753428301136456
cg19746873,0.027593042833879543
cg02290803,0.02526446451324302
cg04164538,0.023227320172119308
cg02890102,0.031327326675431526
cg14074741,0.03987835351709374
cg23751407,0.025169501030209013
cg10857807,0.015134369884600547
cg25407064,0.026900731185748088
cg14994919,0.019892996929556043
cg16787025,0.02784020196891926
cg02443583,0.025755235816305566
cg03259733,0.026766416006209937
cg27518145,0.021818404253063122
cg24591761,0.024287424070651938
cg11588644,0.014439207261262701
cg01942926,0.026212332527575946
cg09215316,0.023886927927532126
cg02477126,0.031687171602016256
cg06886867,0.023094299446800852
cg16235062,0.02128090789255653
cg02105034,0.02694806461436595
cg05979501,0.01841247324889066
cg12659159,0.02858182321907244
cg03600886,0.02252988222435148
cg23904047,0.014877965285956238
cg01290229,0.028186573933937184
cg10020373,0.027536421404858846
cg05073845,0.01560170461198952
cg00455450,0.028224608128284645
cg10225640,0.0270764691028188
cg00040945,0.020809548549656148
cg27064981,0.021995704283744345
cg07734359,0.026139461643701654
cg14423177,0.02256425614526109
cg18618964,0.024962017674766163
cg00454932,0.016512890221514632
cg09842479,0.020882154269728503
cg11117765,0.014811067358879083
cg25933195,0.02410370861990233
cg23921854,0.025543657223166587
cg05605135,0.015906331152261467
cg16643813,0.011683666730499875
cg02968429,0.018079925944881527
cg27628089,0.030356059283396464
cg07764513,0.023755306574648492
cg01785449,0.02380859264109147
cg00214294,0.016109624038700098
cg00232685,0.018418400910638524
cg22519151,0.016631103458036783
cg04880762,0.02880766280023292
cg12713893,0.015555602470983148
cg10702645,0.02214201025965836
cg20808681,0.01926550667384321
cg02877791,0.015954178660821664
cg07846311,0.027812241459612017
cg02226688,0.011773911915511836
cg17490932,0.02585685806648829
cg19697239,0.02653847309685814
cg16799897,0.012606200272864193
